1,I3,SW
2,B9,N
3,F2,NW
4,J2,SE
5,A7,N
6,E2,W
7,J3,S
8,J12,W
9,G3,E
10,H2,E
11,F11,N
12,A10,NW
13,D2,NE
14,A12,N
15,H6,S
16,K2,SE
17,A3,SW
18,K12,N
19,I5,S
20,D8,NE
21,C2,SW
22,K9,NE
23,A2,SW
24,B3,SW
25,I10,N
26,E6,NE
27,E9,NE
28,G12,N
29,J4,SE
30,C6,N
31,C10,NW
32,I8,E
33,J7,SW
34,G10,S
35,G4,N
36,C8,SW
37,I2,SE
38,D4,N
39,G8,E
40,B5,N
w01,F7,SW
w02,B2,W
w03,G9,W
w04,B6,NE
w05,E12,E
w06,B8,W
w07,E5,SE
w08,K11,W
w09,E8,NW
w10,J10,SE
w11,H5,SE
w12,K8,W
w13,H8,W
w14,A5,NE
w15,F3,SE
w16,C9,NE
w17,I6,W
w18,D7,SE
w19,K3,NE
w20,I11,SE
w21,B12,W
w22,G6,E
w23,I7,SE
w24,A4,NW
w25,F5,SE
w26,B10,W
w27,J8,NW
w28,D10,E
w29,F10,SW
w30,I12,E
w31,I9,SE
w32,C5,W
w33,C7,E
w34,K4,NE
w35,D11,SW
w36,B11,W
w37,F8,W
w38,H11,SE
w39,A8,S
w40,E10,W
w41,H12,W
w42,A11,W
w43,D5,NE
w44,F12,W
w45,C11,NW
w46,D12,E
w47,G5,NE
w48,B4,E
w49,D9,NE
w50,B7,SW
w51,G11,NE
w52,E3,NW
w53,C12,E
w54,J11,SE
w55,H7,E
w56,J6,NW
w57,K10,W
w58,C4,W
w59,F4,SW
w60,H4,NW
w61,H10,SW
w62,K6,W
w63,K5,SW
w64,D3,E
w65,G7,NW
w66,J5,E
w67,C3,SE
w68,E4,NE
w69,F6,NW
w70,E7,S
w71,J9,W
w72,I4,W
w73,A6,E
w74,F9,S
w75,H3,SW
w76,A9,E
w77,K7,SE
w78,E11,W
w79,D6,NE
w80,H9,NW
